Content,Paper Name,Label,Document Type,Affiliations,Cleaned_Content
"DNMT3A mutations in patients with polycythemia vera were heterogeneous and not enriched in interferon alfa–treated patients. DNMT3A mutations had no detectable impact on the hematologic response, molecular response, or survival outcomes. © 2025 American Society of Hematology [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",DNMT3A mutations are unlikely to affect interferon alfa treatment outcomes in patients with polycythemia vera,electronic health records,Article,,dnmt mutation patient polycythemia vera heterogeneous enriched interferon alfa treated patient dnmt mutation detectable impact hematologic response molecular response survival outcome american society hematology pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad pad
The professional development of medical social workers currently faces several dilemmas，such as insufficient professionalism，unbroken professional barriers，and an incomplete policy system. To address these dilemmas，medical social workers should clarify the dimensions of their professional capabilities and strive to improve their professional capabilities，building a professional capability framework focusing on problem-solving. Meanwhile，with the popularization of AI technology，the cross-field integration and development of “AI + medical social workers”have brought new opportunities for the professional capability construction of medical social workers. For example，big data can enhance the optimization of electronic health record services；virtual reality（VR）and augmented reality can facilitate the electronic standardization of social worker training for clients；and machine learning can promote the transformation of the social work service model towards“risk prediction and advance intervention，”assisting in improving direct service capabilities. ChatGPT and VR remote consultation systems can be used for supervision services，big data cloud classrooms and robot teaching assistants can broaden learning channels，and natural language processing,Prospective dialogue and ethical exploration of artificial intelligence intervention into the professional capability construction of medical social workers,electronic health records,Article,,professional development medical social worker currently face several dilemma insufficient professionalism unbroken professional barrier incomplete policy system address dilemma medical social worker clarify dimension professional capability strive improve professional capability building professional capability framework focusing problem solving meanwhile popularization ai technology cross field integration development ai medical social worker brought new opportunity professional capability construction medical social worker example big data enhance optimization electronic health record service virtual reality vr augmented reality facilitate electronic standardization social worker training client machine learning promote transformation social work service model towards risk prediction advance intervention assisting improving direct service capability chatgpt vr remote consultation system used supervision service big data cloud classroom robot teaching assistant broaden learning channel natural language processing
"Within the United States, cardiovascular disease is the leading cause of death. There are well-established inequities in cardiovascular care; individuals from medically underserved populations—including those with low socioeconomic status, rural populations, a plethora of racial and ethnic groups, women, and those living with disabilities—are often at increased risk of cardiovascular morbidity and mortality. Despite their critically unmet needs, these populations remain underrepresented within cardiovascular clinical trials, therefore deepening inequities in cardiovascular care. The inclusion of representative populations within cardiovascular clinical research ensures that data derived from clinical trials translate into effectiveness for all populations, particularly as cardiovascular therapeutics move toward personalized approaches. In this article, we review the importance of including underserved populations in cardiovascular clinical research and the key barriers to their participation. We explore system-level strategies that have only recently demonstrated large-scale feasibility within the cardiovascular research paradigm, such as community-engaged research and clinical trial decentralization, to increase",Improving Representation of Underserved Populations in Cardiovascular Research,electronic health records,Article,,within united state cardiovascular disease leading cause death well established inequity cardiovascular care individual medically underserved population including low socioeconomic status rural population plethora racial ethnic group woman living disability often increased risk cardiovascular morbidity mortality despite critically unmet need population remain underrepresented within cardiovascular clinical trial therefore deepening inequity cardiovascular care inclusion representative population within cardiovascular clinical research ensures data derived clinical trial translate effectiveness population particularly cardiovascular therapeutic move toward personalized approach article review importance including underserved population cardiovascular clinical research key barrier participation explore system level strategy recently demonstrated large scale feasibility within cardiovascular research paradigm community engaged research clinical trial decentralization increase
"Introduction: The rapid adoption of electronic health record (EHR) systems has resulted in extensive archives of data relevant to clinical research, hospital operations, and the development of learning health systems. However, EHR data are not frequently available, cleaned, standardized, validated, and ready for use by stakeholders. We describe an in-progress effort to overcome these challenges with cooperative, systematic data extraction and validation. Methods: A multi-disciplinary team of investigators collaborated to create the Complete Inpatient Record Using Comprehensive Electronic Data (CIRCE) Project dataset, which captures EHR data from six hospitals within the University of Pennsylvania Health System. Analysts and clinical researchers jointly iteratively reviewed SQL queries and their output to validate desired data elements. Data from patients aged ≥18 years with at least one encounter at an acute care hospital or hospice occurring since 7/1/2017 were included. The CIRCE Project includes three layers: (1) raw data comprised of direct SQL query","The Complete Inpatient Record Using Comprehensive Electronic Data (CIRCE) project: A team-based approach to clinically validated, research-ready electronic health record data",electronic health records,Article,,introduction rapid adoption electronic health record [Cluster] system resulted extensive archive data relevant clinical research hospital operation development learning health system however [Cluster] data frequently available cleaned standardized validated ready use stakeholder describe progress effort overcome challenge cooperative systematic data extraction validation method multi disciplinary team investigator collaborated create complete inpatient record using comprehensive electronic data circe project dataset capture [Cluster] data six hospital within university pennsylvania health system analyst clinical researcher jointly iteratively reviewed sql query output validate desired data element data patient aged year least one encounter acute care hospital hospice occurring since included circe project includes three layer raw data comprised direct sql query
"The healthcare industry is at significant risk of cybercrime and privacy violations due to the extensive distribution and sensitivity of health data. Recent trends in confidentiality breaches across multiple industries highlight the critical need for improved data security technologies that ensure privacy, accuracy, and reliability. Furthermore, decentralized healthcare systems suffer from intermittent remote clients and imbalanced data. This paper proposes a privacy-preserving federated learning (P2FL) approach for improving medical data privacy in health care informatics on edge devices. The remote clients in FL may have imbalanced datasets for local training, leading to lower results. Data augmentation procedures are employed in local model training to address this issue and balance datasets. Dynamic customer interactions with the global server via remote healthcare facilities are challenging. In real-world scenarios, technical or connectivity issues may cause clients to attend or exit the training session. The proposed methodology is tested on various clients and image",P2FL: Privacy-Preserving Federated Learning Approach for Healthcare Informatics at the Edge,electronic health records,Book chapter,,healthcare industry significant risk cybercrime privacy violation due extensive distribution sensitivity health data recent trend confidentiality breach across multiple industry highlight critical need improved data security technology ensure privacy accuracy reliability furthermore decentralized healthcare system suffer intermittent remote client imbalanced data paper proposes privacy preserving federated learning fl approach improving medical data privacy health care informatics edge device remote client fl may imbalanced datasets local training leading lower result data augmentation procedure employed local model training address issue balance datasets dynamic customer interaction global server via remote healthcare facility challenging real world scenario technical connectivity issue may cause client attend exit training session proposed methodology tested various client image
"Accurate and timely diagnoses are essential in emergency medicine, where delays in care can have severe consequences. The goal of the study was to use the MIMIC-III dataset to evaluate ClinicalBERT and GPT-4 models in predicting discharge diagnoses using inpatient notes. In GPT-4 diagnostic prediction, we investigated two prompt engineering methods: the binary voting method and the scaled likelihood rating method. We tested four conditions: circulatory system diseases, respiratory diseases, septicemia, and pneumonia, with 160 cases analyzed. ClinicalBERT outperformed GPT models, achieving the highest F1 scores across all categories. It scored 0.816 for circulatory diseases, 0.952 for respiratory diseases, 0.889 for septicemia, and 0.743 for pneumonia. The GPT binary voting method performed slightly better than the scaled likelihood rating method in most cases. While ClinicalBERT required significant computational resources, GPT-4 needed no pre-training, had high recall but lower precision, and could process longer text. © 2025 The Authors. [PAD] [PAD]",Leveraging LLMs for Early Diagnosis: Comparing ClinicalBERT and GPT-4 to Address Diagnostic Uncertainty in the Emergency Department,electronic health records,Conference paper,,accurate timely diagnosis essential emergency medicine delay care severe consequence goal study use mimic iii dataset evaluate clinicalbert gpt model predicting discharge diagnosis using inpatient note gpt diagnostic prediction investigated two prompt engineering method binary voting method scaled likelihood rating method tested four condition circulatory system disease respiratory disease septicemia pneumonia case analyzed clinicalbert outperformed gpt model achieving highest score across category scored circulatory disease respiratory disease septicemia pneumonia gpt binary voting method performed slightly better scaled likelihood rating method case clinicalbert required significant computational resource gpt needed pre training high recall lower precision could process longer text author pad pad
"Objectives: To document the proportion of transgender and gender diverse (TGD) youth presenting to a pediatric psychiatric emergency department (ED) and examine whether their demographic and clinical characteristics differ from cisgender youth. Methods: We analyzed electronic health records of youth ages 5 to 17 years presenting to a specialized pediatric psychiatric ED (N = 2728), including sociodemographic characteristics, gender identity, suicidal risk at admission, and diagnoses at discharge. We examined differences by gender identity using χ2 tests (categorical variables), 2-sample t tests, or Mann-Whitney U tests (continuous variables). Adjusted Poisson regression models estimated the prevalence ratio of the association between gender identity and clinical diagnoses. Results: Of youth, 6% seeking emergency psychiatric care identified as TGD. Compared with cisgender peers, TGD youth exhibited a higher risk for suicide, longer hospital stays, and received more psychiatric diagnoses at discharge, including a higher prevalence of suicidal thoughts and behaviors (prevalence ratio: 1.50,",Psychiatric Emergency Service Use by Transgender and Gender-Diverse Youth,electronic health records,Article,,objective document proportion transgender gender diverse tgd youth presenting pediatric psychiatric emergency department ed examine whether demographic clinical characteristic differ cisgender youth method analyzed electronic health record youth age year presenting specialized pediatric psychiatric ed including sociodemographic characteristic gender identity suicidal risk admission diagnosis discharge examined difference gender identity using test categorical variable sample test mann whitney test continuous variable adjusted poisson regression model estimated prevalence ratio association gender identity clinical diagnosis result youth seeking emergency psychiatric care identified tgd compared cisgender peer tgd youth exhibited higher risk suicide longer hospital stay received psychiatric diagnosis discharge including higher prevalence suicidal thought behavior prevalence ratio
"Drug recommendation uses AI technology to combine a patient's electronic health records with medical knowledge to help doctors recommend safer and more accurate drug combinations. Time-dependence of patients’ historical records plays a crucial role in existing methods, but some of them ignore or disregard the explainability of the recommendation, and some recommendation results are accompanied by high drug-drug interactions (DDIs). Therefore, an explainable drug recommendation model(ExpDrug) with low DDIs is proposed in this article. It maps the ”black-box” features of patient diagnoses, procedures and medications to the explainable aspect features, and minimizes both rating prediction loss and explainable loss to improve recommendation performance. In addition, a controllable threshold strategy is proposed to reduce the DDI rate. Extensive experiments are conducted on the MIMIC-III dataset, and the proposed ExpDrug achieves new state-of-the-art performance across safety, explainability and four accuracy metrics. The source code is publicly available at https://github.com/hyh0606/ExpDrug. © 2024 Elsevier",ExpDrug: An explainable drug recommendation model based on space feature mapping,electronic health records,Article,,drug recommendation us ai technology combine patient electronic health record medical knowledge help doctor recommend safer accurate drug combination time dependence patient historical record play crucial role existing method ignore disregard explainability recommendation recommendation result accompanied high drug drug interaction ddi therefore explainable drug recommendation model expdrug low ddi proposed article map black box feature patient diagnosis procedure medication explainable aspect feature minimizes rating prediction loss explainable loss improve recommendation performance addition controllable threshold strategy proposed reduce ddi rate extensive experiment conducted mimic iii dataset proposed expdrug achieves new state art performance across safety explainability four accuracy metric source code publicly available elsevier
"Informal carers-those who provide unpaid care for people with health concerns or age-related needs- frequently experience negative impacts on their own physical, mental, and social wellbeing. Health systems should respond to these impacts by explicitly recognising and addressing the support needs of informal carers. Positive outcomes for this underserved population group, sustain delivery of care, and reduce further burden on the healthcare system. Three changes are needed to improve how health systems support carers. First, there must be a stronger and more systematic focus on carers’ wellbeing, including through the expansion of patient-centered care models to explicitly include carers. This should involve co-designing healthcare systems in ways that create space for carers as active partners in care. Second, carers’ needs should be routinely identified and assessed in clinical practice using standardised tools, ideally integrated into electronic health records. Third, clinicians must be supported to provide care for carers when needed—this",We should care about informal carers: Reforms are needed to improve their health and wellbeing,electronic health records,Article,,informal carers provide unpaid care people health concern age related need frequently experience negative impact physical mental social wellbeing health system respond impact explicitly recognising addressing support need informal carers positive outcome underserved population group sustain delivery care reduce burden healthcare system three change needed improve health system support carers first must stronger systematic focus carers wellbeing including expansion patient centered care model explicitly include carers involve co designing healthcare system way create space carers active partner care second carers need routinely identified assessed clinical practice using standardised tool ideally integrated electronic health record third clinician must supported provide care carers needed
"Objectives: To explore the view of nonlayperson committee members on the added value of a discrete choice experiment (DCE) instrument to measure patient and committee member preferences for a health intervention. Methods: Nine semistructured interviews were conducted with voting members from two types of advisory committees in Quebec, Canada: one from the Ministry of Health and Social Services, and eight from the Health Technology Assessment (HTA) agency. The DCE instrument, administrable to patients (i.e., pregnant women) and committee members, was developed and administered to both groups to measure their preferences about the addition of fetal chromosomal anomalies to a prenatal screening program. A conceptual framework consisting of three dimensions (relative advantage, compatibility, and complexity) was used for data collection and analyses. Results: Committee members considered the DCE instrument, when used with both patients and committee members, to be particularly valuable in raising awareness of potential biases. These biases, generated by",Perception of non-layperson advisory committee members on the application of a discrete choice experiment instrument to patients and advisory committee members: a qualitative study,electronic health records,Article,,objective explore view nonlayperson committee member added value discrete choice experiment dce instrument measure patient committee member preference health intervention method nine semistructured interview conducted voting member two type advisory committee quebec canada one ministry health social service eight health technology assessment hta agency dce instrument administrable patient pregnant woman committee member developed administered group measure preference addition fetal chromosomal anomaly prenatal screening program conceptual framework consisting three dimension relative advantage compatibility complexity used data collection analysis result committee member considered dce instrument used patient committee member particularly valuable raising awareness potential bias bias generated
